user_id,first_tx_id,first_tx_date,cohort_month
7,1,2022-01-02,2022-01
9,2,2022-01-02,2022-01
10,3,2022-01-02,2022-01
4,4,2022-01-03,2022-01
8,5,2022-01-03,2022-01
12,6,2022-01-03,2022-01
28,7,2022-01-03,2022-01
30,8,2022-01-03,2022-01
3,9,2022-01-04,2022-01
13,10,2022-01-04,2022-01
14,11,2022-01-04,2022-01
37,12,2022-01-04,2022-01
11,13,2022-01-05,2022-01
16,14,2022-01-05,2022-01
22,15,2022-01-05,2022-01
24,16,2022-01-05,2022-01
26,17,2022-01-05,2022-01
31,18,2022-01-05,2022-01
1,19,2022-01-06,2022-01
27,20,2022-01-06,2022-01
35,21,2022-01-06,2022-01
40,22,2022-01-06,2022-01
41,23,2022-01-06,2022-01
51,24,2022-01-06,2022-01
55,25,2022-01-06,2022-01
59,26,2022-01-06,2022-01
61,27,2022-01-06,2022-01
65,28,2022-01-06,2022-01
2,29,2022-01-07,2022-01
19,30,2022-01-07,2022-01
20,31,2022-01-07,2022-01
21,32,2022-01-07,2022-01
29,33,2022-01-07,2022-01
32,34,2022-01-07,2022-01
33,35,2022-01-07,2022-01
44,36,2022-01-07,2022-01
57,37,2022-01-07,2022-01
79,38,2022-01-07,2022-01
5,39,2022-01-08,2022-01
15,40,2022-01-08,2022-01
17,41,2022-01-08,2022-01
18,42,2022-01-08,2022-01
38,43,2022-01-08,2022-01
50,44,2022-01-08,2022-01
52,45,2022-01-08,2022-01
60,46,2022-01-08,2022-01
62,47,2022-01-08,2022-01
63,48,2022-01-08,2022-01
54,49,2022-01-09,2022-01
66,50,2022-01-09,2022-01
68,51,2022-01-09,2022-01
81,52,2022-01-09,2022-01
88,53,2022-01-09,2022-01
90,54,2022-01-09,2022-01
92,55,2022-01-09,2022-01
94,56,2022-01-09,2022-01
97,57,2022-01-09,2022-01
112,58,2022-01-09,2022-01
34,59,2022-01-10,2022-01
39,60,2022-01-10,2022-01
45,61,2022-01-10,2022-01
46,62,2022-01-10,2022-01
75,63,2022-01-10,2022-01
80,64,2022-01-10,2022-01
82,65,2022-01-10,2022-01
98,66,2022-01-10,2022-01
104,67,2022-01-10,2022-01
110,68,2022-01-10,2022-01
111,69,2022-01-10,2022-01
113,70,2022-01-10,2022-01
114,71,2022-01-10,2022-01
118,72,2022-01-10,2022-01
126,73,2022-01-10,2022-01
42,74,2022-01-11,2022-01
43,75,2022-01-11,2022-01
53,76,2022-01-11,2022-01
56,77,2022-01-11,2022-01
84,78,2022-01-11,2022-01
101,79,2022-01-11,2022-01
106,80,2022-01-11,2022-01
116,81,2022-01-11,2022-01
123,82,2022-01-11,2022-01
124,83,2022-01-11,2022-01
127,84,2022-01-11,2022-01
132,85,2022-01-11,2022-01
133,86,2022-01-11,2022-01
49,87,2022-01-12,2022-01
72,88,2022-01-12,2022-01
78,89,2022-01-12,2022-01
100,90,2022-01-12,2022-01
103,91,2022-01-12,2022-01
121,92,2022-01-12,2022-01
135,93,2022-01-12,2022-01
64,94,2022-01-13,2022-01
67,95,2022-01-13,2022-01
76,96,2022-01-13,2022-01
86,97,2022-01-13,2022-01
93,98,2022-01-13,2022-01
105,99,2022-01-13,2022-01
115,100,2022-01-13,2022-01
130,101,2022-01-13,2022-01
136,102,2022-01-13,2022-01
141,103,2022-01-13,2022-01
147,104,2022-01-13,2022-01
153,105,2022-01-13,2022-01
71,106,2022-01-14,2022-01
77,107,2022-01-14,2022-01
85,108,2022-01-14,2022-01
91,109,2022-01-14,2022-01
125,110,2022-01-14,2022-01
149,111,2022-01-14,2022-01
96,112,2022-01-15,2022-01
129,113,2022-01-15,2022-01
150,114,2022-01-15,2022-01
109,115,2022-01-16,2022-01
119,116,2022-01-16,2022-01
120,117,2022-01-16,2022-01
131,118,2022-01-16,2022-01
140,119,2022-01-16,2022-01
151,120,2022-01-16,2022-01
152,121,2022-01-16,2022-01
155,122,2022-01-16,2022-01
159,123,2022-01-16,2022-01
173,124,2022-01-16,2022-01
176,125,2022-01-16,2022-01
122,126,2022-01-17,2022-01
128,127,2022-01-17,2022-01
144,128,2022-01-17,2022-01
154,129,2022-01-17,2022-01
156,130,2022-01-17,2022-01
174,131,2022-01-17,2022-01
134,132,2022-01-18,2022-01
137,133,2022-01-18,2022-01
157,134,2022-01-18,2022-01
162,135,2022-01-18,2022-01
165,136,2022-01-18,2022-01
190,137,2022-01-18,2022-01
139,138,2022-01-19,2022-01
143,139,2022-01-19,2022-01
145,140,2022-01-19,2022-01
158,141,2022-01-19,2022-01
163,142,2022-01-19,2022-01
171,143,2022-01-19,2022-01
181,144,2022-01-19,2022-01
193,145,2022-01-19,2022-01
206,146,2022-01-19,2022-01
148,147,2022-01-20,2022-01
160,148,2022-01-20,2022-01
168,149,2022-01-20,2022-01
172,150,2022-01-20,2022-01
184,151,2022-01-20,2022-01
194,152,2022-01-20,2022-01
200,153,2022-01-20,2022-01
202,154,2022-01-20,2022-01
205,155,2022-01-20,2022-01
166,156,2022-01-21,2022-01
179,157,2022-01-21,2022-01
180,158,2022-01-21,2022-01
182,159,2022-01-21,2022-01
208,160,2022-01-21,2022-01
211,161,2022-01-21,2022-01
212,162,2022-01-21,2022-01
215,163,2022-01-21,2022-01
218,164,2022-01-21,2022-01
221,165,2022-01-21,2022-01
235,166,2022-01-21,2022-01
167,167,2022-01-22,2022-01
175,168,2022-01-22,2022-01
188,169,2022-01-22,2022-01
199,170,2022-01-22,2022-01
207,171,2022-01-22,2022-01
214,172,2022-01-22,2022-01
219,173,2022-01-22,2022-01
231,174,2022-01-22,2022-01
245,175,2022-01-22,2022-01
246,176,2022-01-22,2022-01
178,177,2022-01-23,2022-01
183,178,2022-01-23,2022-01
185,179,2022-01-23,2022-01
186,180,2022-01-23,2022-01
191,181,2022-01-23,2022-01
192,182,2022-01-23,2022-01
196,183,2022-01-23,2022-01
216,184,2022-01-23,2022-01
229,185,2022-01-23,2022-01
238,186,2022-01-23,2022-01
239,187,2022-01-23,2022-01
254,188,2022-01-23,2022-01
255,189,2022-01-23,2022-01
187,190,2022-01-24,2022-01
189,191,2022-01-24,2022-01
198,192,2022-01-24,2022-01
209,193,2022-01-24,2022-01
217,194,2022-01-24,2022-01
222,195,2022-01-24,2022-01
228,196,2022-01-24,2022-01
232,197,2022-01-24,2022-01
234,198,2022-01-24,2022-01
244,199,2022-01-24,2022-01
253,200,2022-01-24,2022-01
257,201,2022-01-24,2022-01
260,202,2022-01-24,2022-01
261,203,2022-01-24,2022-01
262,204,2022-01-24,2022-01
201,205,2022-01-25,2022-01
203,206,2022-01-25,2022-01
204,207,2022-01-25,2022-01
210,208,2022-01-25,2022-01
223,209,2022-01-25,2022-01
