month,installments_count,cnt,share_pct
2022-01,4,244,82.15
2022-01,6,51,17.17
2022-01,12,1,0.34
2022-01,24,1,0.34
2022-02,4,233,74.2
2022-02,6,61,19.43
2022-02,12,16,5.1
2022-02,24,4,1.27
2022-03,4,366,81.33
2022-03,6,70,15.56
2022-03,12,12,2.67
2022-03,24,2,0.44
2022-04,4,382,79.92
2022-04,6,87,18.2
2022-04,12,9,1.88
2022-05,4,387,76.79
2022-05,6,92,18.25
2022-05,12,20,3.97
2022-05,24,5,0.99
2022-06,4,357,71.83
2022-06,6,109,21.93
2022-06,12,26,5.23
2022-06,24,5,1.01
2022-07,4,374,77.43
2022-07,6,87,18.01
2022-07,12,22,4.55
2022-08,4,652,78.84
2022-08,6,148,17.9
2022-08,12,26,3.14
2022-08,24,1,0.12
2022-09,4,728,82.17
2022-09,6,134,15.12
2022-09,12,21,2.37
2022-09,24,3,0.34
2022-10,4,463,76.4
2022-10,6,114,18.81
2022-10,12,27,4.46
2022-10,24,2,0.33
2022-11,4,1118,82.21
2022-11,6,203,14.93
2022-11,12,34,2.5
2022-11,24,5,0.37
2022-12,4,1246,82.9
2022-12,6,224,14.9
2022-12,12,30,2.0
2022-12,24,3,0.2
2023-01,4,318,68.39
2023-01,6,124,26.67
2023-01,12,21,4.52
2023-01,24,2,0.43
2023-02,4,307,72.24
2023-02,6,100,23.53
2023-02,12,14,3.29
2023-02,24,4,0.94
2023-03,4,724,78.87
2023-03,6,163,17.76
2023-03,12,28,3.05
2023-03,24,3,0.33
2023-04,4,751,77.26
2023-04,6,191,19.65
2023-04,12,28,2.88
2023-04,24,2,0.21
2023-05,4,662,73.88
2023-05,6,181,20.2
2023-05,12,45,5.02
2023-05,24,8,0.89
2023-06,4,531,72.84
2023-06,6,153,20.99
2023-06,12,40,5.49
2023-06,24,5,0.69
2023-07,4,575,76.56
2023-07,6,143,19.04
2023-07,12,31,4.13
2023-07,24,2,0.27
2023-08,4,1143,78.99
2023-08,6,248,17.14
2023-08,12,52,3.59
2023-08,24,4,0.28
2023-09,4,1160,73.51
2023-09,6,335,21.23
2023-09,12,70,4.44
2023-09,24,13,0.82
2023-10,4,712,70.08
2023-10,6,237,23.33
2023-10,12,59,5.81
2023-10,24,8,0.79
2023-11,4,1916,79.08
2023-11,6,410,16.92
2023-11,12,87,3.59
2023-11,24,10,0.41
2023-12,4,1968,73.76
2023-12,6,526,19.72
2023-12,12,156,5.85
2023-12,24,18,0.67
2024-01,4,542,81.5
2024-01,6,97,14.59
2024-01,12,22,3.31
2024-01,24,4,0.6
2024-02,4,507,83.8
2024-02,6,86,14.21
2024-02,12,11,1.82
2024-02,24,1,0.17
2024-03,4,1203,75.33
2024-03,6,307,19.22
2024-03,12,75,4.7
2024-03,24,12,0.75
2024-04,4,1165,73.22
2024-04,6,329,20.68
2024-04,12,84,5.28
2024-04,24,13,0.82
2024-05,4,1162,78.09
2024-05,6,257,17.27
2024-05,12,60,4.03
2024-05,24,9,0.6
2024-06,4,943,80.32
2024-06,6,196,16.7
2024-06,12,28,2.39
2024-06,24,7,0.6
2024-07,4,973,72.18
2024-07,6,282,20.92
2024-07,12,78,5.79
2024-07,24,15,1.11
2024-08,4,1937,74.64
2024-08,6,535,20.62
2024-08,12,101,3.89
2024-08,24,22,0.85
2024-09,4,2120,73.64
2024-09,6,587,20.39
2024-09,12,147,5.11
2024-09,24,25,0.87
2024-10,4,1605,73.62
2024-10,6,478,21.93
2024-10,12,85,3.9
2024-10,24,12,0.55
2024-11,4,4652,77.49
2024-11,6,1114,18.56
2024-11,12,207,3.45
2024-11,24,30,0.5
2024-12,6,1,20.0
2024-12,12,4,80.0
