month,category,tx_cnt
2022-01,electronics,96
2022-01,fashion,68
2022-01,sports,44
2022-01,home,41
2022-01,beauty,34
2022-01,others,14
2022-02,electronics,84
2022-02,home,68
2022-02,beauty,61
2022-02,fashion,49
2022-02,sports,38
2022-02,others,14
2022-03,electronics,120
2022-03,fashion,103
2022-03,home,83
2022-03,sports,62
2022-03,beauty,60
2022-03,others,22
2022-04,electronics,120
2022-04,fashion,100
2022-04,home,91
2022-04,sports,76
2022-04,beauty,65
2022-04,others,26
2022-05,home,160
2022-05,electronics,96
2022-05,beauty,86
2022-05,fashion,78
2022-05,sports,58
2022-05,others,26
2022-06,home,175
2022-06,electronics,100
2022-06,beauty,88
2022-06,fashion,69
2022-06,sports,44
2022-06,others,21
2022-07,electronics,136
2022-07,home,97
2022-07,fashion,94
2022-07,sports,83
2022-07,beauty,53
2022-07,others,20
2022-08,electronics,225
2022-08,fashion,169
2022-08,home,166
2022-08,sports,136
2022-08,beauty,104
2022-08,others,27
2022-09,electronics,261
2022-09,fashion,204
2022-09,home,161
2022-09,sports,127
2022-09,beauty,101
2022-09,others,32
2022-10,electronics,140
2022-10,home,129
2022-10,fashion,112
2022-10,beauty,101
2022-10,sports,90
2022-10,others,34
2022-11,electronics,404
2022-11,fashion,305
2022-11,home,229
2022-11,sports,212
2022-11,beauty,134
2022-11,others,76
2022-12,electronics,417
2022-12,fashion,364
2022-12,home,257
2022-12,sports,241
2022-12,beauty,134
2022-12,others,90
2023-01,home,120
2023-01,beauty,89
2023-01,electronics,88
2023-01,fashion,75
2023-01,sports,72
2023-01,others,21
2023-02,electronics,115
2023-02,fashion,94
2023-02,home,88
2023-02,sports,55
2023-02,beauty,47
2023-02,others,26
2023-03,electronics,250
2023-03,fashion,195
2023-03,home,177
2023-03,sports,152
2023-03,beauty,104
2023-03,others,40
2023-04,electronics,248
2023-04,fashion,214
2023-04,home,179
2023-04,sports,144
2023-04,beauty,128
2023-04,others,59
2023-05,electronics,233
2023-05,home,212
2023-05,fashion,142
2023-05,beauty,142
2023-05,sports,109
2023-05,others,58
2023-06,home,211
2023-06,electronics,160
2023-06,fashion,116
2023-06,beauty,116
2023-06,sports,82
2023-06,others,44
2023-07,electronics,180
2023-07,fashion,177
2023-07,home,156
2023-07,sports,119
2023-07,beauty,79
2023-07,others,40
2023-08,electronics,377
2023-08,fashion,312
2023-08,home,279
2023-08,beauty,204
2023-08,sports,201
2023-08,others,74
2023-09,electronics,390
2023-09,home,342
2023-09,fashion,321
2023-09,sports,229
2023-09,beauty,220
2023-09,others,76
2023-10,electronics,295
2023-10,home,226
2023-10,fashion,183
2023-10,sports,135
2023-10,beauty,121
2023-10,others,56
2023-11,electronics,641
2023-11,fashion,560
2023-11,home,465
2023-11,sports,332
2023-11,beauty,283
2023-11,others,142
2023-12,home,651
2023-12,electronics,651
2023-12,fashion,506
2023-12,beauty,392
2023-12,sports,354
2023-12,others,114
2024-01,electronics,184
2024-01,fashion,166
2024-01,home,120
2024-01,sports,86
2024-01,beauty,75
2024-01,others,34
2024-02,electronics,162
2024-02,fashion,145
2024-02,home,118
2024-02,sports,81
2024-02,beauty,70
2024-02,others,29
2024-03,electronics,429
2024-03,fashion,356
2024-03,home,284
2024-03,beauty,221
2024-03,sports,214
2024-03,others,93
2024-04,electronics,414
2024-04,home,382
2024-04,fashion,308
2024-04,beauty,221
2024-04,sports,200
2024-04,others,66
2024-05,electronics,417
2024-05,fashion,336
2024-05,home,304
2024-05,sports,187
2024-05,beauty,182
2024-05,others,62
2024-06,electronics,338
2024-06,fashion,271
2024-06,home,198
2024-06,beauty,157
2024-06,sports,140
2024-06,others,70
2024-07,electronics,324
2024-07,home,291
2024-07,fashion,260
2024-07,beauty,198
2024-07,sports,189
2024-07,others,86
2024-08,electronics,707
2024-08,fashion,570
2024-08,home,533
2024-08,sports,346
2024-08,beauty,314
2024-08,others,125
2024-09,electronics,715
2024-09,home,635
2024-09,fashion,576
2024-09,sports,413
2024-09,beauty,394
2024-09,others,146
2024-10,electronics,576
2024-10,fashion,485
2024-10,home,427
2024-10,sports,298
2024-10,beauty,288
2024-10,others,106
2024-11,electronics,1662
2024-11,fashion,1403
2024-11,home,1079
2024-11,sports,855
2024-11,beauty,707
2024-11,others,297
2024-12,home,2
2024-12,sports,1
2024-12,others,1
2024-12,beauty,1
