month,category,tx_cnt
2022-01,electronics,96
2022-01,fashion,68
2022-01,sports,44
2022-02,electronics,84
2022-02,home,68
2022-02,beauty,61
2022-03,electronics,120
2022-03,fashion,103
2022-03,home,83
2022-04,electronics,120
2022-04,fashion,100
2022-04,home,91
2022-05,home,160
2022-05,electronics,96
2022-05,beauty,86
2022-06,home,175
2022-06,electronics,100
2022-06,beauty,88
2022-07,electronics,136
2022-07,home,97
2022-07,fashion,94
2022-08,electronics,225
2022-08,fashion,169
2022-08,home,166
2022-09,electronics,261
2022-09,fashion,204
2022-09,home,161
2022-10,electronics,140
2022-10,home,129
2022-10,fashion,112
2022-11,electronics,404
2022-11,fashion,305
2022-11,home,229
2022-12,electronics,417
2022-12,fashion,364
2022-12,home,257
2023-01,home,120
2023-01,beauty,89
2023-01,electronics,88
2023-02,electronics,115
2023-02,fashion,94
2023-02,home,88
2023-03,electronics,250
2023-03,fashion,195
2023-03,home,177
2023-04,electronics,248
2023-04,fashion,214
2023-04,home,179
2023-05,electronics,233
2023-05,home,212
2023-05,beauty,142
2023-06,home,211
2023-06,electronics,160
2023-06,beauty,116
2023-07,electronics,180
2023-07,fashion,177
2023-07,home,156
2023-08,electronics,377
2023-08,fashion,312
2023-08,home,279
2023-09,electronics,390
2023-09,home,342
2023-09,fashion,321
2023-10,electronics,295
2023-10,home,226
2023-10,fashion,183
2023-11,electronics,641
2023-11,fashion,560
2023-11,home,465
2023-12,electronics,651
2023-12,home,651
2023-12,fashion,506
2024-01,electronics,184
2024-01,fashion,166
2024-01,home,120
2024-02,electronics,162
2024-02,fashion,145
2024-02,home,118
2024-03,electronics,429
2024-03,fashion,356
2024-03,home,284
2024-04,electronics,414
2024-04,home,382
2024-04,fashion,308
2024-05,electronics,417
2024-05,fashion,336
2024-05,home,304
2024-06,electronics,338
2024-06,fashion,271
2024-06,home,198
2024-07,electronics,324
2024-07,home,291
2024-07,fashion,260
2024-08,electronics,707
2024-08,fashion,570
2024-08,home,533
2024-09,electronics,715
2024-09,home,635
2024-09,fashion,576
2024-10,electronics,576
2024-10,fashion,485
2024-10,home,427
2024-11,electronics,1662
2024-11,fashion,1403
2024-11,home,1079
2024-12,home,2
2024-12,beauty,1
2024-12,others,1
